Location,Structure,Replicate,Lat,Lon,Date,barcode,SampleID,Control
Capitol Reef,Shoot,1,38.203505,-111.140593,6/11/22,01,1V3V4_FWD,FALSE
Capitol Reef,Shoot,2,38.203505,-111.140593,6/11/22,02,2V3V4_FWD,FALSE
Capitol Reef,Shoot,3,38.203505,-111.140593,6/11/22,03,3V3V4_FWD,FALSE
Capitol Reef,Shoot,4,38.203505,-111.140593,6/11/22,04,4V3V4_FWD,FALSE
Capitol Reef,Shoot,5,38.203505,-111.140593,6/11/22,05,5V3V4_FWD,FALSE
Capitol Reef,Root,1,38.203505,-111.140593,6/11/22,06,6V3V4_FWD,FALSE
Capitol Reef,Root,2,38.203505,-111.140593,6/11/22,07,7V3V4_FWD,FALSE
Capitol Reef,Root,3,38.203505,-111.140593,6/11/22,08,8V3V4_FWD,FALSE
Capitol Reef,Root,4,38.203505,-111.140593,6/11/22,09,9V3V4_FWD,FALSE
Capitol Reef,Root,5,38.203505,-111.140593,6/11/22,10,10V3V4_FWD,FALSE
Capitol Reef,Soil,1,38.203505,-111.140593,6/11/22,11,11V3V4_FWD,FALSE
Capitol Reef,Negative Control,1,38.203505,-111.140593,6/11/22,12,12V3V4_FWD,TRUE
Manning Canyon,Shoot,1,40.271586,-112.209848,6/2/22,13,13V3V4_FWD,FALSE
Manning Canyon,Shoot,2,40.271586,-112.209848,6/2/22,14,14V3V4_FWD,FALSE
Manning Canyon,Shoot,3,40.271586,-112.209848,6/2/22,15,15V3V4_FWD,FALSE
Manning Canyon,Shoot,4,40.271586,-112.209848,6/2/22,16,16V3V4_FWD,FALSE
Manning Canyon,Shoot,5,40.271586,-112.209848,6/2/22,17,17V3V4_FWD,FALSE
Manning Canyon,Shoot,6,40.271586,-112.209848,6/2/22,18,18V3V4_FWD,FALSE
Manning Canyon,Shoot,7,40.271586,-112.209848,6/2/22,19,19V3V4_FWD,FALSE
Manning Canyon,Shoot,8,40.271586,-112.209848,6/2/22,20,20V3V4_FWD,FALSE
Manning Canyon,Shoot,9,40.271586,-112.209848,6/2/22,21,21V3V4_FWD,FALSE
Manning Canyon,Shoot,10,40.271586,-112.209848,6/2/22,22,22V3V4_FWD,FALSE
Manning Canyon,Shoot,11,40.271586,-112.209848,6/2/22,23,23V3V4_FWD,FALSE
Manning Canyon,Shoot,12,40.271586,-112.209848,6/2/22,24,24V3V4_FWD,FALSE
Manning Canyon,Root,1,40.271586,-112.209848,6/2/22,25,25V3V4_FWD,FALSE
Manning Canyon,Root,2,40.271586,-112.209848,6/2/22,26,26V3V4_FWD,FALSE
Manning Canyon,Root,3,40.271586,-112.209848,6/2/22,27,27V3V4_FWD,FALSE
Manning Canyon,Root,4,40.271586,-112.209848,6/2/22,28,28V3V4_FWD,FALSE
Manning Canyon,Root,5,40.271586,-112.209848,6/2/22,29,29V3V4_FWD,FALSE
Manning Canyon,Root,6,40.271586,-112.209848,6/2/22,30,30V3V4_FWD,FALSE
Manning Canyon,Root,7,40.271586,-112.209848,6/2/22,31,31V3V4_FWD,FALSE
Manning Canyon,Root,8,40.271586,-112.209848,6/2/22,32,32V3V4_FWD,FALSE
Manning Canyon,Root,9,40.271586,-112.209848,6/2/22,33,33V3V4_FWD,FALSE
Manning Canyon,Root,10,40.271586,-112.209848,6/2/22,34,34V3V4_FWD,FALSE
Manning Canyon,Root,11,40.271586,-112.209848,6/2/22,35,35V3V4_FWD,FALSE
Manning Canyon,Root,12,40.271586,-112.209848,6/2/22,36,36V3V4_FWD,FALSE
Manning Canyon,Negative Control,1,40.271586,-112.209848,6/2/22,37,37V3V4_FWD,TRUE
Manning Canyon,Negative Control,2,40.271586,-112.209848,6/2/22,38,38V3V4_FWD,TRUE
Manning Canyon,Soil,1,40.271586,-112.209848,6/2/22,39,39V3V4_FWD,FALSE
Manning Canyon,Soil,2,40.271586,-112.209848,6/2/22,40,40V3V4_FWD,FALSE
Manning Canyon,Soil,3,40.271586,-112.209848,6/2/22,41,41V3V4_FWD,FALSE